timestamp,temperatura,umidade,evento,confianca
2025-06-05 22:32:05,42.1,85.0,tempestade,0.66
2025-06-05 22:32:06,42.1,85.0,tempestade,0.66
2025-06-05 22:32:08,42.1,85.0,tempestade,0.66
2025-06-05 22:32:10,42.1,85.0,tempestade,0.66
2025-06-05 22:32:12,42.1,85.0,tempestade,0.66
2025-06-05 22:32:14,42.1,85.0,tempestade,0.66
2025-06-05 22:32:16,42.1,85.0,tempestade,0.66
2025-06-05 22:32:18,32.6,85.0,tempestade,1.0
2025-06-05 22:32:20,12.4,85.0,geada,0.49
2025-06-05 22:32:22,11.3,85.0,geada,0.49
2025-06-05 22:32:24,11.3,85.0,geada,0.49
2025-06-05 22:32:26,-1.4,85.0,geada,0.99
2025-06-05 22:32:28,-1.4,85.0,geada,0.99
2025-06-05 22:32:30,-1.4,79.5,geada,1.0
2025-06-05 22:32:32,-1.4,79.5,geada,1.0
2025-06-05 22:32:34,-1.4,79.5,geada,1.0
2025-06-05 22:32:36,-1.4,79.5,geada,1.0
2025-06-05 22:32:38,-1.4,73.5,geada,1.0
2025-06-05 22:32:40,-1.4,67.5,geada,0.5
2025-06-05 22:32:42,-1.4,61.0,geada,0.5
2025-06-05 22:32:44,2.8,61.0,geada,0.5
2025-06-05 22:32:46,9.2,61.0,geada,0.5
2025-06-05 22:32:48,11.3,61.0,normal,1.0
2025-06-05 22:32:51,46.4,61.0,queimada,0.64
2025-06-05 22:32:53,41.1,61.0,queimada,0.64
2025-06-05 22:32:55,36.8,61.0,queimada,0.64
2025-06-05 22:32:57,33.6,61.0,queimada,0.64
2025-06-05 22:32:59,33.6,61.0,queimada,0.64
2025-06-05 22:33:01,33.6,61.0,queimada,0.64
