timestamp,temperatura,umidade,evento,confianca
2025-06-06 21:32:54,24.0,40.0,normal,1.0
2025-06-06 21:32:54,24.0,40.0,normal,1.0
2025-06-06 21:32:54,24.0,40.0,normal,1.0
2025-06-06 21:32:56,24.0,40.0,normal,1.0
2025-06-06 21:32:58,24.0,40.0,normal,1.0
2025-06-06 21:33:00,24.0,40.0,normal,1.0
2025-06-06 21:33:02,36.8,40.0,queimada,0.57
2025-06-06 21:33:04,36.8,40.0,queimada,0.57
2025-06-06 21:33:06,36.8,40.0,queimada,0.57
2025-06-06 21:33:08,36.8,40.0,queimada,0.57
2025-06-06 21:33:10,36.8,40.0,queimada,0.57
2025-06-06 21:33:12,36.8,21.5,queimada,1.0
2025-06-06 21:33:15,34.7,21.5,queimada,1.0
2025-06-06 21:33:17,34.7,21.5,queimada,1.0
2025-06-06 21:33:18,34.7,21.5,queimada,1.0
2025-06-06 21:33:21,34.7,21.5,queimada,1.0
2025-06-06 21:33:23,34.7,21.5,queimada,1.0
2025-06-06 21:33:25,34.7,13.5,queimada,1.0
2025-06-06 21:33:27,34.7,13.5,queimada,1.0
2025-06-06 21:33:29,18.8,13.5,normal,0.57
2025-06-06 21:33:31,3.9,13.5,queimada,0.4
2025-06-06 21:33:33,3.9,28.5,queimada,0.4
2025-06-06 21:33:35,3.9,53.0,geada,0.53
2025-06-06 21:33:37,3.9,58.5,geada,0.53
2025-06-06 21:33:39,3.9,72.0,geada,1.0
2025-06-06 21:33:41,3.9,90.5,geada,1.0
2025-06-06 21:33:43,11.3,90.5,geada,0.47
2025-06-06 21:33:45,18.8,90.5,tempestade,0.76
2025-06-06 21:33:47,45.3,90.5,tempestade,0.59
2025-06-06 21:33:49,45.3,90.5,tempestade,0.59
2025-06-06 21:33:51,45.3,90.5,tempestade,0.59
2025-06-06 21:33:53,45.3,90.5,tempestade,0.59
2025-06-06 21:33:55,45.3,90.5,tempestade,0.59
2025-06-06 21:33:57,45.3,82.5,tempestade,0.59
2025-06-06 21:33:59,35.7,82.5,tempestade,0.59
2025-06-06 21:34:01,24.1,82.5,tempestade,0.76
2025-06-06 21:34:03,27.3,82.5,tempestade,1.0
2025-06-06 21:34:05,27.3,82.5,tempestade,1.0
2025-06-06 21:34:07,27.3,82.5,tempestade,1.0
2025-06-06 21:34:09,27.3,82.5,tempestade,1.0
2025-06-06 21:34:11,27.3,82.5,tempestade,1.0
2025-06-06 21:34:13,27.3,5.5,normal,0.57
2025-06-06 21:34:15,27.3,5.5,normal,0.57
2025-06-06 21:34:17,6.0,5.5,queimada,0.4
2025-06-06 21:34:19,12.4,5.5,normal,0.57
2025-06-06 21:34:21,19.8,5.5,normal,0.57
2025-06-06 21:34:23,21.9,5.5,normal,0.57
2025-06-06 21:34:25,21.9,19.5,normal,0.57
2025-06-06 21:34:27,21.9,19.5,normal,0.57
2025-06-06 21:34:29,21.9,19.5,normal,0.57
2025-06-06 21:34:31,21.9,19.5,normal,0.57
2025-06-06 21:34:33,21.9,19.5,normal,0.57
