timestamp,temperatura,umidade,evento,confianca
2025-06-06 22:30:19,32.6,34.5,queimada,0.59
2025-06-06 22:30:20,32.6,34.5,queimada,0.59
2025-06-06 22:30:22,32.6,34.5,queimada,0.59
2025-06-06 22:30:24,32.6,34.5,queimada,0.59
2025-06-06 22:30:26,32.6,34.5,queimada,0.59
2025-06-06 22:30:28,32.6,34.5,queimada,0.59
2025-06-06 22:30:30,32.6,34.5,queimada,0.59
2025-06-06 22:30:32,32.6,34.5,queimada,0.59
2025-06-06 22:30:34,12.4,34.5,normal,0.57
2025-06-06 22:30:36,11.3,27.5,normal,0.57
2025-06-06 22:30:38,11.3,26.5,normal,0.57
2025-06-06 22:30:40,11.3,26.5,normal,0.57
2025-06-06 22:30:42,1.8,26.5,queimada,0.4
2025-06-06 22:30:44,1.8,26.5,queimada,0.4
2025-06-06 22:30:46,1.8,35.5,queimada,0.4
2025-06-06 22:30:48,1.8,59.5,geada,0.53
2025-06-06 22:30:50,1.8,59.5,geada,0.53
2025-06-06 22:30:52,1.8,72.0,geada,1.0
2025-06-06 22:30:54,13.4,72.0,normal,0.53
2025-06-06 22:30:56,13.4,72.0,normal,0.53
2025-06-06 22:30:58,38.9,72.0,queimada,0.46
2025-06-06 22:31:00,38.9,74.5,queimada,0.46
2025-06-06 22:31:02,41.1,77.0,tempestade,0.42
2025-06-06 22:31:04,41.1,77.0,tempestade,0.42
2025-06-06 22:31:06,30.4,77.0,tempestade,0.76
2025-06-06 22:31:08,29.4,64.0,normal,0.89
2025-06-06 22:31:10,25.1,64.0,normal,0.99
2025-06-06 22:31:12,20.9,64.0,normal,1.0
2025-06-06 22:31:14,20.9,64.0,normal,1.0
2025-06-06 22:31:16,20.9,57.5,normal,1.0
2025-06-06 22:31:19,20.9,57.5,normal,1.0
2025-06-06 22:31:21,20.9,57.5,normal,1.0
2025-06-06 22:31:23,20.9,57.5,normal,1.0
2025-06-06 22:31:25,20.9,57.5,normal,1.0
2025-06-06 22:31:27,20.9,57.5,normal,1.0
2025-06-06 22:31:29,20.9,57.5,normal,1.0
2025-06-06 22:31:31,25.1,57.5,normal,0.99
2025-06-06 22:31:33,37.9,72.0,queimada,0.46
2025-06-06 22:31:35,48.5,72.0,queimada,0.46
2025-06-06 22:31:37,48.5,72.0,queimada,0.46
2025-06-06 22:31:39,48.5,72.0,queimada,0.46
2025-06-06 22:31:41,48.5,72.0,queimada,0.46
2025-06-06 22:31:43,48.5,72.0,queimada,0.46
2025-06-06 22:31:45,48.5,72.0,queimada,0.46
2025-06-06 22:31:47,48.5,72.0,queimada,0.46
2025-06-06 22:31:49,48.5,72.0,queimada,0.46
2025-06-06 22:31:51,48.5,72.0,queimada,0.46
2025-06-06 22:31:53,48.5,72.0,queimada,0.46
2025-06-06 22:31:55,48.5,72.0,queimada,0.46
2025-06-06 22:31:57,48.5,72.0,queimada,0.46
2025-06-06 22:31:59,48.5,72.0,queimada,0.46
2025-06-06 22:32:01,48.5,72.0,queimada,0.46
2025-06-06 22:32:03,48.5,72.0,queimada,0.46
2025-06-06 22:32:05,48.5,72.0,queimada,0.46
2025-06-06 22:32:07,48.5,72.0,queimada,0.46
2025-06-06 22:32:09,48.5,72.0,queimada,0.46
2025-06-06 22:32:11,48.5,72.0,queimada,0.46
2025-06-06 22:32:13,48.5,72.0,queimada,0.46
2025-06-06 22:32:15,48.5,72.0,queimada,0.46
2025-06-06 22:32:17,48.5,72.0,queimada,0.46
2025-06-06 22:32:19,48.5,72.0,queimada,0.46
2025-06-06 22:32:21,48.5,72.0,queimada,0.46
2025-06-06 22:32:23,48.5,72.0,queimada,0.46
2025-06-06 22:32:25,48.5,72.0,queimada,0.46
2025-06-06 22:32:27,48.5,72.0,queimada,0.46
2025-06-06 22:32:29,48.5,72.0,queimada,0.46
2025-06-06 22:32:31,48.5,72.0,queimada,0.46
2025-06-06 22:32:33,48.5,72.0,queimada,0.46
2025-06-06 22:32:35,48.5,72.0,queimada,0.46
2025-06-06 22:32:37,48.5,72.0,queimada,0.46
2025-06-06 22:32:39,48.5,72.0,queimada,0.46
2025-06-06 22:32:41,48.5,72.0,queimada,0.46
2025-06-06 22:32:43,48.5,72.0,queimada,0.46
2025-06-06 22:32:45,48.5,72.0,queimada,0.46
2025-06-06 22:32:47,48.5,72.0,queimada,0.46
2025-06-06 22:32:49,48.5,72.0,queimada,0.46
2025-06-06 22:32:51,48.5,72.0,queimada,0.46
2025-06-06 22:32:53,48.5,72.0,queimada,0.46
2025-06-06 22:32:55,48.5,72.0,queimada,0.46
